,location,price(L),rate_persqft,area_insqft,building_status,bhk,property_type
1317,Chandanagar,54.0,4044,1335,Under Construction,2.0,Apartment
1318,Shamshabad,227.0,6145,3698,Under Construction,4.0,Apartment
1319,Shamshabad,143.0,6150,2337,Under Construction,3.0,Apartment
1320,Other,72.0,4965,1450,Ready to move,3.0,Apartment
1321,Sangareddy,36.8,23000,160,New,0.0,Residential Plot
1322,Other,23.99,1777,1350,New,0.0,Residential Plot
1323,Other,25.0,1147,2178,New,0.0,Residential Plot
1324,Indresham,25.0,1147,2178,New,0.0,Residential Plot
1325,Other,47.76,4549,1050,Under Construction,2.0,Apartment
1326,Other,140.0,7372,1899,Resale,0.0,Residential Plot
1327,Bhuvanagiri,20.0,1388,1440,New,0.0,Residential Plot
1328,Bhuvanagiri,22.5,1388,1620,New,0.0,Residential Plot
1329,Bhuvanagiri,26.25,1388,1890,New,0.0,Residential Plot
1330,Adibatla,56.7,3000,1890,New,0.0,Residential Plot
1331,Bhuvanagiri,25.0,1388,1800,New,0.0,Residential Plot
1332,Other,5.4,500,1080,New,0.0,Residential Plot
1333,Other,6.75,500,1350,New,0.0,Residential Plot
1334,Ghatkesar,24.0,2222,1080,New,0.0,Residential Plot
1335,Ghatkesar,32.0,2222,1440,New,0.0,Residential Plot
1336,Ghatkesar,36.0,2222,1620,New,0.0,Residential Plot
1337,Taramatipet,24.0,2222,1080,New,0.0,Residential Plot
1338,Taramatipet,30.0,2222,1350,New,0.0,Residential Plot
1339,Taramatipet,32.0,2222,1440,New,0.0,Residential Plot
1340,Shadnagar,30.79,1333,2309,New,0.0,Residential Plot
1341,Shadnagar,17.59,1333,1319,New,0.0,Residential Plot
1342,Shadnagar,18.03,1333,1353,New,0.0,Residential Plot
1343,Mokila,18.7,944,1980,New,0.0,Residential Plot
1344,Other,24.3,1800,1350,New,0.0,Residential Plot
1345,Other,11.3,944,1197,New,0.0,Residential Plot
1346,Other,12.74,944,1350,New,0.0,Residential Plot
1347,Other,14.02,944,1485,New,0.0,Residential Plot
1348,Other,200.0,6920,2890,Ready to move,4.0,Independent House
1349,Nanakramguda,215.0,10000,2150,Under Construction,3.0,Apartment
